name,version,directory,repository,summary,from package.json,from license,from readme
@babel/code-frame,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/code-frame,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/compat-data,7.14.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/compat-data,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/core,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/core,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/generator,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/generator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-annotate-as-pure,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-annotate-as-pure,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-builder-binary-assignment-operator-visitor,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-builder-binary-assignment-operator-visitor,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-compilation-targets,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-compilation-targets,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-create-class-features-plugin,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-create-class-features-plugin,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-create-regexp-features-plugin,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-create-regexp-features-plugin,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-define-polyfill-provider,0.2.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-define-polyfill-provider,https://github.com/babel/babel-polyfills,MIT,MIT,MIT,
@babel/helper-explode-assignable-expression,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-explode-assignable-expression,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-function-name,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-function-name,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-get-function-arity,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-get-function-arity,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-hoist-variables,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-hoist-variables,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-member-expression-to-functions,7.14.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-member-expression-to-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-module-imports,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-module-imports,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-module-transforms,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-module-transforms,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-optimise-call-expression,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-optimise-call-expression,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-plugin-utils,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-plugin-utils,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-remap-async-to-generator,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-remap-async-to-generator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-replace-supers,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-replace-supers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-simple-access,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-simple-access,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-skip-transparent-expression-wrappers,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-skip-transparent-expression-wrappers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-split-export-declaration,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-split-export-declaration,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-validator-identifier,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-validator-identifier,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-validator-option,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-validator-option,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-wrap-function,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helper-wrap-function,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helpers,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/helpers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/highlight,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/highlight,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/parser,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/parser,https://github.com/babel/babel,MIT,MIT,,
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-async-generator-functions,7.14.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-async-generator-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-class-properties,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-class-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-class-static-block,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-class-static-block,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-dynamic-import,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-dynamic-import,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-export-namespace-from,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-export-namespace-from,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-json-strings,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-json-strings,https://github.com/babel/babel,MIT,MIT,MIT,
